label,text
spam,Money i have won wining number 946 wot do i do next
ham,We r outside already.
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today."
ham,Am i that much dirty fellow?
ham,Hey darlin.. i can pick u up at college if u tell me wen & where 2 mt.. love Pete xx
ham,I thk 530 lor. But dunno can get tickets a not. Wat u doing now?
ham,Also remember to get dobby's bowl from your car
ham,thanks for the temales it was wonderful. Thank. Have a great week.
ham,So the sun is anti sleep medicine.
ham,In da car park 
ham,Ok anyway no need to change with what you said
ham,"Ya ok, then had dinner?"
ham,"Haha better late than ever, any way I could swing by?"
ham,Shall i start from hear.
ham,Sorry da thangam.it's my mistake.
ham,Well I wasn't available as I washob nobbing with last night so they had to ask Nickey Platt instead of me!;
ham,My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.
ham,"Ya, i'm referin to mei's ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards..."
ham,I'm awake oh. What's up.
spam,Gr8 new service - live sex video chat on your mob - see the sexiest dirtiest girls live on ur phone - 4 details text horny to 89070 to cancel send STOP to 89070
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
ham,I only work from mon to thurs but Sat i cant leh... Booked liao... Which other day u free?
ham,I could ask carlos if we could get more if anybody else can chip in
ham,"Yeah, probably here for a while"
ham,So ü pay first lar... Then when is da stock comin...
ham,Ok lor. Msg me b4 u call.
ham,She.s find. I sent you an offline message to know how anjola's now.
spam,PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04
spam,Urgent! Please call 09061213237 from landline. £5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+
ham,Oh baby of the house. How come you dont have any new pictures on facebook
ham,Its good to hear from you
spam,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu
ham,No shoot me. I'm in the docs waiting room. :/
ham,how tall are you princess?
ham,Howz that persons story
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.
ham,In which place i can get rooms cheap:-)
ham,"Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always"
ham,Anytime...
ham,I thk ü gotta go home by urself. Cos i'll b going out shopping 4 my frens present. 
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? 
ham,Its hard to believe things like this. All can say lie but think twice before saying anything to me.
ham,Reckon need to be in town by eightish to walk from * carpark.
ham,I think chennai well settled?
spam,Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.
ham,I think i've fixed it can you send a test message?
ham,Your pussy is perfect!
spam,As a Registered Subscriber yr draw 4 a £100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062
ham,"Just sent you an email – to an address with incomm in it, is that right?"
ham,I am back. Bit long cos of accident on a30. Had to divert via wadebridge.I had a brilliant weekend thanks. Speak soon. Lots of love
ham,The greatest test of courage on earth is to bear defeat without losing heart....gn tc
ham,You're gonna have to be way more specific than that
ham,Are you willing to go for aptitude class.
ham,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch..."
ham,"Ok. Can be later showing around 8-8:30 if you want + cld have drink before. Wld prefer not to spend money on nosh if you don't mind, as doing that nxt wk."
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa
ham,So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!
ham,"""HELLO U.CALL WEN U FINISH WRK.I FANCY MEETIN UP WIV U ALL TONITE AS I NEED A BREAK FROM DABOOKS. DID 4 HRS LAST NITE+2 TODAY OF WRK!"""
ham,Kallis is ready for bat in 2nd innings
ham,Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs
ham,How come she can get it? Should b quite diff to guess rite...
ham,Will you be here for food
ham,K.k.how is your business now?
spam,You have won a guaranteed 32000 award or maybe even £1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???
ham,Okay same with me. Well thanks for the clarification
ham,"Haha awesome, omw back now then"
ham,Then ur physics get a-?
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only
ham,"Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?"
ham,"Happy new year to u and ur family...may this new year bring happiness , stability and tranquility to ur vibrant colourful life:):)"
ham,You do your studies alone without anyones help. If you cant no need to study.
spam,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.
ham,I take it we didn't have the phone callon Friday. Can we assume we won't have it this year now?
ham,Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-)
ham,Its a great day. Do have yourself a beautiful one.
ham,Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one
ham,Eatin my lunch...
ham,Am only searching for good dual sim mobile pa.
spam,"URGENT! Your Mobile No 07808726822 was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU"
ham,"Thanx. Yup we coming back on sun. Finish dinner going back 2 hotel now. Time flies, we're tog 4 exactly a mth today. Hope we'll haf many more mths to come..."
ham,Can a not?
spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 87077 Get txting and tell ur mates. zed POBox 36504 W45WQ norm150p/tone 16+
ham,"When you get free, call me"
ham,"Thanks da thangam, i feel very very happy dear. I also miss you da."
ham,"Goodmorning,my grandfather expired..so am on leave today."
spam,it to 80488. Your 500 free text messages are valid until 31 December 2005.
ham,Lol they were mad at first but then they woke up and gave in.
ham,Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola
ham,Spending new years with my brother and his family. Lets plan to meet next week. Are you ready to be spoiled? :)
ham,"And stop wondering ""wow is she ever going to stop tm'ing me ?!"" because I will tm you whenever I want because you are MINE ... *laughs*"
ham,"Aight, sounds good. When do you want me to come down?"
ham,"Its ok., i just askd did u knw tht no?"
ham,Still at west coast... Haiz... Ü'll take forever to come back...
spam,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 £3/wk"
spam,FROM 88066 LOST £12 HELP
ham,"Oh, then your phone phoned me but it disconnected"
spam,sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p 
ham,I asked sen to come chennai and search for job.
ham,"Not yet chikku..going to room nw, i'm in bus.."
ham,"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8"
ham,what I meant to say is cant wait to see u again getting bored of this bridgwater banter
ham,"I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it."
ham,Only if you promise your getting out as SOON as you can. And you'll text me in the morning to let me know you made it in ok.
ham,I am getting threats from your sales executive Shifad as i raised complaint against him. Its an official message.
ham,at bruce b downs &amp; fletcher now
ham,Forgot to tell ü smth.. Can ü like number the sections so that it's clearer..
ham,Or ü go buy wif him then i meet ü later can?
ham,Aah! A cuddle would be lush! I'd need lots of tea and soup before any kind of fumbling!
ham,What's happening with you. Have you gotten a job and have you begun registration for permanent residency
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only
spam,"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)"
ham,What is important is that you prevent dehydration by giving her enough fluids
ham,Yeah just open chat and click friend lists. Then make the list. Easy as pie
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
ham,"Alright omw, gotta change my order to a half8th"
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
spam,"URGENT! Your mobile number *************** WON a £2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm"
ham,You call him and tell now infront of them. Call him now.
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng"
ham,Thanks for picking up the trash.
spam,Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app 
ham,I called but no one pick up e phone. I ask both of them already they said ok.
spam,"Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service"
ham,Oh yeah! And my diet just flew out the window
spam,"HOT LIVE FANTASIES call now 08707500020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
ham,Ok. Me watching tv too.
ham,how are you? I miss you!
spam,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
ham,Where r we meeting?
ham,Did you get any gift? This year i didnt get anything. So bad
ham,I AM AT THE GAS STATION. GO THERE.
ham,What he said is not the matter. My mind saying some other matter is there.
ham,Goin to workout lor... Muz lose e fats... 
ham, what number do u live at? Is it 11?
ham,I am sorry it hurt you.
spam,Warner Village 83118 C Colin Farrell in SWAT this wkend @Warner Village & get 1 free med. Popcorn!Just show msg+ticket@kiosk.Valid 4-7/12. C t&c @kiosk. Reply SONY 4 mre film offers
ham,But we havent got da topic yet rite?
ham,Have you got Xmas radio times. If not i will get it now
ham,Its going good...no problem..but still need little experience to understand american customer voice...
ham,She's good. How are you. Where r u working now
ham,A bloo bloo bloo I'll miss the first bowl
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
ham,"I didnt get ur full msg..sometext is missing, send it again"
ham,"Aight, tomorrow around  &lt;#&gt;  it is"
ham,That's cause your old. I live to be high.
ham,Wot about on wed nite I am 3 then but only til 9!
ham,"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe"
ham,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '"
spam,You have WON a guaranteed £1000 cash or a £2000 prize.To claim yr prize call our customer service representative on
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill
ham,Wot is u up 2 then bitch?
ham,"Jus chillaxin, what up"
ham,No need lar i go engin? Cos my sis at arts today...
ham,IM FINE BABES AINT BEEN UP 2 MUCH THO! SAW SCARY MOVIE YEST ITS QUITE FUNNY! WANT 2MRW AFTERNOON? AT TOWN OR MALL OR SUMTHIN?xx
ham,I‘ll have a look at the frying pan in case it‘s cheap or a book perhaps. No that‘s silly a frying pan isn‘t likely to be a book
ham,HI ITS JESS I DONT KNOW IF YOU ARE AT WORK BUT CALL ME WHEN U CAN IM AT HOME ALL EVE. XXX
